,Unnamed: 0,checking_balance,months_loan_duration,credit_history,amount,savings_balance,employment_duration,percent_of_income,years_at_residence,age,existing_loans_count,dependents,default,purpose_business,purpose_car,purpose_education,purpose_furniture/appliances,purpose_renovations,other_credit_bank,other_credit_none,other_credit_store,housing_other,housing_own,housing_rent,job_management,job_skilled,job_unemployed,job_unskilled,phone_no,phone_yes
117,117,1.0,10,0.0,2132,4.0,2.0,2,3,27,2,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0
118,118,1.0,33,0.0,4281,1.0,0.0,1,4,23,2,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
119,119,0.0,12,0.0,2366,1.0,1.0,3,3,36,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
120,120,1.0,21,1.0,1835,2.0,0.0,3,2,25,2,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
121,121,3.0,24,0.0,3868,2.0,3.0,4,2,41,2,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
122,122,3.0,12,1.0,1768,2.0,0.0,3,2,24,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0
123,123,2.0,10,0.0,781,2.0,3.0,4,4,63,2,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
124,124,0.0,18,1.0,1924,4.0,2.0,4,3,27,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0
125,125,1.0,12,0.0,2121,2.0,0.0,4,2,30,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
126,126,1.0,12,1.0,701,2.0,0.0,4,2,40,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0
127,127,0.0,12,1.0,639,2.0,0.0,4,2,30,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
128,128,0.0,12,0.0,1860,2.0,4.0,4,2,34,2,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
129,129,1.0,12,0.0,3499,2.0,0.0,3,2,29,2,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
130,130,0.0,48,1.0,8487,4.0,1.0,1,2,24,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
131,131,1.0,36,3.0,6887,2.0,0.0,4,3,29,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1
132,132,3.0,15,1.0,2708,2.0,2.0,2,3,27,2,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0
133,133,3.0,18,1.0,1984,2.0,0.0,4,4,47,2,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0
134,134,3.0,60,1.0,10144,0.0,1.0,2,4,21,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
135,135,3.0,12,0.0,1240,4.0,3.0,4,2,38,2,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
136,136,3.0,27,3.0,8613,3.0,0.0,2,2,27,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
137,137,0.0,12,1.0,766,1.0,0.0,4,3,66,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0
138,138,0.0,15,0.0,2728,4.0,1.0,4,2,35,3,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
139,139,2.0,12,1.0,1881,2.0,0.0,2,2,44,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1
140,140,2.0,6,1.0,709,3.0,2.0,2,2,27,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
141,141,0.0,36,1.0,4795,2.0,2.0,4,1,30,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1
142,142,1.0,27,1.0,3416,2.0,0.0,3,2,27,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
143,143,1.0,18,1.0,2462,2.0,0.0,2,2,22,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
144,144,3.0,21,0.0,2288,2.0,2.0,4,4,23,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
145,145,0.0,48,4.0,3566,0.0,1.0,4,2,30,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
146,146,1.0,6,0.0,860,2.0,3.0,1,4,39,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
147,147,3.0,12,0.0,682,0.0,1.0,4,3,51,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
148,148,1.0,36,0.0,5371,2.0,0.0,3,2,28,2,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
149,149,3.0,18,0.0,1582,3.0,3.0,4,4,46,2,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
150,150,3.0,6,1.0,1346,0.0,3.0,2,4,42,1,2,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1
151,151,3.0,10,1.0,1924,2.0,0.0,1,4,38,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
152,152,2.0,36,1.0,5848,2.0,0.0,4,1,24,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
153,153,0.0,24,0.0,7758,3.0,3.0,2,4,29,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
154,154,0.0,24,3.0,6967,0.0,1.0,4,4,36,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
155,155,1.0,12,1.0,1282,2.0,0.0,2,4,20,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0
156,156,1.0,9,0.0,1288,0.0,3.0,3,4,48,2,2,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
157,157,1.0,12,4.0,339,2.0,3.0,4,1,45,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0
158,158,0.0,24,1.0,3512,0.0,1.0,2,3,38,2,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
159,159,3.0,6,0.0,1898,4.0,0.0,1,2,34,2,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0
160,160,3.0,24,0.0,2872,0.0,3.0,3,4,36,1,2,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
161,161,3.0,18,0.0,1055,2.0,2.0,4,1,30,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
162,162,3.0,15,1.0,1262,1.0,1.0,4,3,36,2,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
163,163,0.0,10,1.0,7308,2.0,4.0,2,4,70,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
164,164,3.0,36,1.0,909,1.0,3.0,4,4,36,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
165,165,3.0,6,1.0,2978,1.0,0.0,1,2,32,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
166,166,1.0,18,1.0,1131,2.0,4.0,4,2,33,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
167,167,0.0,11,1.0,1577,3.0,2.0,4,1,20,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
168,168,3.0,24,1.0,3972,2.0,1.0,2,4,25,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
169,169,0.0,24,0.0,1935,2.0,3.0,4,4,31,2,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
170,170,1.0,15,2.0,950,2.0,3.0,4,3,33,2,2,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
171,171,3.0,12,1.0,763,2.0,0.0,4,1,26,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
172,172,0.0,24,3.0,2064,2.0,4.0,3,2,34,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1
173,173,0.0,8,1.0,1414,2.0,0.0,4,2,33,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
174,174,1.0,21,3.0,3414,2.0,2.0,2,1,26,2,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
175,175,3.0,30,4.0,7485,4.0,4.0,4,1,53,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
176,176,1.0,12,1.0,2577,2.0,0.0,2,1,42,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
177,177,1.0,6,0.0,338,1.0,3.0,4,4,52,2,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
178,178,3.0,12,1.0,1963,2.0,1.0,4,2,31,2,2,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1
179,179,1.0,21,0.0,571,2.0,3.0,4,4,65,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
180,180,3.0,36,3.0,9572,2.0,2.0,1,1,28,2,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
181,181,0.0,36,3.0,4455,2.0,0.0,2,2,30,2,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
182,182,1.0,21,4.0,1647,4.0,0.0,4,2,40,2,2,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0
183,183,3.0,24,0.0,3777,3.0,0.0,4,4,50,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
184,184,0.0,18,0.0,884,2.0,3.0,4,4,36,1,2,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
185,185,3.0,15,0.0,1360,2.0,0.0,4,2,31,2,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
186,186,0.0,9,4.0,5129,2.0,3.0,2,4,74,1,2,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
187,187,0.0,16,0.0,1175,2.0,4.0,2,3,68,3,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
188,188,1.0,12,1.0,674,0.0,1.0,4,1,20,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
189,189,0.0,18,2.0,3244,2.0,0.0,1,4,33,2,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
190,190,3.0,24,1.0,4591,3.0,0.0,2,3,54,3,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
191,191,0.0,48,2.0,3844,0.0,1.0,4,4,34,1,2,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0
