,Unnamed: 0,checking_balance,credit_history,savings_balance,employment_duration,percent_of_income,years_at_residence,age,existing_loans_count,dependents,default,purpose_business,purpose_car,purpose_education,purpose_furniture/appliances,purpose_renovations,other_credit_bank,other_credit_none,other_credit_store,housing_other,housing_own,housing_rent,job_management,job_skilled,job_unemployed,job_unskilled,phone_no,phone_yes,amount_per_duration
42,42,0.0,3.0,2.0,0.0,-0.7189462043616851,0.9743938655526208,0.8654912583330046,-0.7325582680165651,2.334868926348074,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,2.9659676289542327
43,43,1.0,0.0,0.0,1.0,-1.9691083823833906,0.9743938655526208,-1.152509286646336,1.1247212753708395,-0.42828956637154025,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,2.5423412178968476
44,44,1.0,0.0,2.0,3.0,0.8560718714877069,0.9743938655526208,1.79546438924355,1.1247212753708395,-0.42828956637154025,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,2.241427046120912
45,45,3.0,0.0,2.0,2.0,0.8560718714877069,0.9743938655526208,0.09939050265205127,1.1247212753708395,-0.42828956637154025,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,2.91356320847632
46,46,3.0,1.0,1.0,3.0,0.8560718714877069,0.9743938655526208,0.46111626254523286,-0.7325582680165651,-0.42828956637154025,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2.1436832930518936
47,47,1.0,1.0,1.0,4.0,-1.9691083823833906,-0.6327891776749888,-1.292660147678095,-0.7325582680165651,-0.42828956637154025,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,3.7052479692708764
48,48,3.0,0.0,2.0,0.0,-1.9691083823833906,0.9743938655526208,0.46111626254523286,1.1247212753708395,-0.42828956637154025,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,3.575931511857153
49,49,3.0,1.0,0.0,0.0,0.8560718714877069,-0.6327891776749888,-0.6429508548224555,-0.7325582680165651,-0.42828956637154025,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2.9775380814332504
50,50,0.0,3.0,4.0,2.0,0.8560718714877069,-0.6327891776749888,-0.5265593919971416,-0.7325582680165651,-0.42828956637154025,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,2.4093314668837995
51,51,0.0,3.0,2.0,3.0,-1.9691083823833906,-0.6327891776749888,-0.4139847381682897,1.1247212753708395,-0.42828956637154025,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,2.609033130627862
52,52,3.0,1.0,2.0,0.0,0.16805797696524175,-0.6327891776749888,-1.01785597577039,-0.7325582680165651,-0.42828956637154025,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2.784166128495416
53,53,3.0,1.0,4.0,0.0,-0.7189462043616851,-1.9084821266066496,-0.3049844931357204,-0.7325582680165651,-0.42828956637154025,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,2.7595528873940336
54,54,0.0,3.0,2.0,3.0,0.8560718714877069,0.9743938655526208,1.7367754500500652,1.1247212753708395,-0.42828956637154025,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,2.13462662910303
55,55,3.0,4.0,4.0,0.0,-1.9691083823833906,-0.6327891776749888,-0.8882851518903232,-0.7325582680165651,2.334868926348074,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,3.4248287484320885
56,56,0.0,1.0,4.0,4.0,-0.7189462043616851,-1.9084821266066496,1.4272669604430885,-0.7325582680165651,-0.42828956637154025,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,3.421033164073131
57,57,3.0,0.0,2.0,0.0,-0.7189462043616851,-0.6327891776749888,-0.3049844931357204,1.1247212753708395,-0.42828956637154025,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,2.5384334890531974
58,58,2.0,1.0,2.0,3.0,0.16805797696524175,-0.6327891776749888,-1.292660147678095,-0.7325582680165651,-0.42828956637154025,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,2.5749284307707625
59,59,1.0,0.0,2.0,2.0,0.8560718714877069,0.9743938655526208,-1.292660147678095,1.1247212753708395,-0.42828956637154025,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,2.419642823002703
60,60,0.0,1.0,2.0,0.0,-0.7189462043616851,-1.9084821266066496,-0.7634270526194575,-0.7325582680165651,-0.42828956637154025,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,3.1436392352745433
61,61,0.0,0.0,4.0,3.0,0.8560718714877069,0.9743938655526208,1.2952037812167485,1.1247212753708395,-0.42828956637154025,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,2.6467099469904567
62,62,0.0,2.0,2.0,3.0,0.8560718714877069,0.9743938655526208,1.9657415667042326,-0.7325582680165651,-0.42828956637154025,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,2.098533950624686
63,63,0.0,2.0,2.0,0.0,-0.7189462043616851,-0.6327891776749888,-1.01785597577039,-0.7325582680165651,-0.42828956637154025,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,2.460676332390229
64,64,3.0,1.0,2.0,2.0,0.8560718714877069,0.9743938655526208,-0.8882851518903232,-0.7325582680165651,-0.42828956637154025,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,2.5056155153881936
65,65,3.0,1.0,4.0,3.0,0.8560718714877069,0.9743938655526208,1.1578566927693275,3.464616773864859,2.334868926348074,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,2.5672738902143295
66,66,3.0,1.0,2.0,2.0,-0.7189462043616851,-0.6327891776749888,-0.5265593919971416,-0.7325582680165651,-0.42828956637154025,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,2.995538160900724
67,67,0.0,1.0,3.0,0.0,0.8560718714877069,-1.9084821266066496,-1.4387766389488574,-0.7325582680165651,-0.42828956637154025,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,2.6962417127313674
68,68,3.0,1.0,2.0,0.0,0.8560718714877069,0.9743938655526208,0.28501513230761544,-0.7325582680165651,-0.42828956637154025,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,2.0788597142530634
69,69,3.0,1.0,4.0,0.0,0.8560718714877069,0.9743938655526208,-1.01785597577039,-0.7325582680165651,-0.42828956637154025,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2.1548921072390144
70,70,3.0,1.0,2.0,0.0,-1.9691083823833906,-0.6327891776749888,-0.4139847381682897,-0.7325582680165651,-0.42828956637154025,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,2.4934956441238536
71,71,3.0,0.0,4.0,3.0,0.8560718714877069,-0.6327891776749888,1.0147851855905983,1.1247212753708395,-0.42828956637154025,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,3.171242531984146
72,72,1.0,0.0,2.0,3.0,0.16805797696524175,0.9743938655526208,1.3618703291021321,1.1247212753708395,2.334868926348074,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,3.2133612735023607
73,73,0.0,0.0,2.0,1.0,-0.7189462043616851,-1.9084821266066496,0.6286235977106901,1.1247212753708395,-0.42828956637154025,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,2.310960920564208
74,74,1.0,1.0,4.0,3.0,0.8560718714877069,0.9743938655526208,0.5458914176138353,-0.7325582680165651,-0.42828956637154025,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,2.1019147196909618
75,75,1.0,0.0,2.0,3.0,0.8560718714877069,0.9743938655526208,2.2320159967368913,1.1247212753708395,-0.42828956637154025,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,2.8581696102078173
76,76,1.0,1.0,2.0,2.0,0.8560718714877069,0.27232937388945866,0.0026737030614956935,-0.7325582680165651,-0.42828956637154025,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2.20289084712843
77,77,0.0,3.0,2.0,1.0,-0.7189462043616851,0.9743938655526208,1.3618703291021321,-0.7325582680165651,-0.42828956637154025,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3.4087883276985353
78,78,3.0,2.0,4.0,0.0,-0.7189462043616851,-0.6327891776749888,0.46111626254523286,-0.7325582680165651,2.334868926348074,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,2.2839112669116353
79,79,0.0,1.0,2.0,2.0,-0.7189462043616851,-1.9084821266066496,-1.4387766389488574,-0.7325582680165651,-0.42828956637154025,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2.4028636608206813
80,80,3.0,1.0,4.0,2.0,-1.9691083823833906,-1.9084821266066496,0.8654912583330046,1.1247212753708395,-0.42828956637154025,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,2.6997430342791864
81,81,3.0,1.0,1.0,3.0,0.8560718714877069,0.27232937388945866,1.0870661571944273,-0.7325582680165651,-0.42828956637154025,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,2.561388176563921
82,82,3.0,1.0,0.0,0.0,0.16805797696524175,0.9743938655526208,-1.152509286646336,-0.7325582680165651,-0.42828956637154025,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,2.4990138375413404
83,83,1.0,1.0,2.0,3.0,0.8560718714877069,0.9743938655526208,1.79546438924355,-0.7325582680165651,-0.42828956637154025,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,2.3209325803989223
84,84,1.0,1.0,2.0,3.0,0.16805797696524175,0.9743938655526208,1.4272669604430885,-0.7325582680165651,-0.42828956637154025,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,3.2309988374310246
85,85,3.0,0.0,2.0,0.0,0.8560718714877069,-0.6327891776749888,-0.5265593919971416,1.1247212753708395,-0.42828956637154025,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,2.8279195304904956
86,86,0.0,0.0,2.0,2.0,0.8560718714877069,-1.9084821266066496,-0.7634270526194575,1.1247212753708395,-0.42828956637154025,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2.434092853553101
87,87,0.0,1.0,0.0,0.0,-1.9691083823833906,0.9743938655526208,1.0870661571944273,-0.7325582680165651,2.334868926348074,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,2.614981435613028
88,88,1.0,1.0,0.0,1.0,0.8560718714877069,0.27232937388945866,-0.4139847381682897,-0.7325582680165651,2.334868926348074,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,2.6214452226086196
89,89,1.0,2.0,2.0,1.0,0.8560718714877069,0.27232937388945866,-0.6429508548224555,1.1247212753708395,-0.42828956637154025,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,2.73347072797148
90,90,3.0,0.0,2.0,3.0,0.8560718714877069,0.9743938655526208,1.677065782637763,-0.7325582680165651,-0.42828956637154025,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2.5061334072678627
91,91,1.0,0.0,2.0,3.0,0.8560718714877069,0.27232937388945866,1.5544377707065709,-0.7325582680165651,-0.42828956637154025,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,2.827090898413948
92,92,3.0,0.0,4.0,3.0,0.8560718714877069,0.27232937388945866,-0.09684686911339761,-0.7325582680165651,2.334868926348074,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,2.6051619997920414
93,93,2.0,0.0,4.0,3.0,0.8560718714877069,0.9743938655526208,-1.7511027071618321,1.1247212753708395,-0.42828956637154025,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,2.545508777521959
94,94,0.0,1.0,3.0,3.0,0.8560718714877069,0.9743938655526208,1.5544377707065709,-0.7325582680165651,-0.42828956637154025,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,2.8010803144385488
95,95,0.0,2.0,2.0,2.0,0.16805797696524175,0.9743938655526208,1.79546438924355,-0.7325582680165651,-0.42828956637154025,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,2.41481375412538
96,96,3.0,0.0,4.0,1.0,0.8560718714877069,-0.6327891776749888,1.9657415667042326,-0.7325582680165651,-0.42828956637154025,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,2.9658992695156434
97,97,0.0,1.0,0.0,0.0,0.8560718714877069,0.9743938655526208,0.0026737030614956935,-0.7325582680165651,-0.42828956637154025,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,2.673539521642737
98,98,0.0,0.0,2.0,3.0,0.8560718714877069,0.9743938655526208,0.1934571906955732,-0.7325582680165651,-0.42828956637154025,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2.148221402339117
99,99,0.0,3.0,4.0,1.0,0.16805797696524175,0.9743938655526208,0.1934571906955732,1.1247212753708395,2.334868926348074,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,2.9107740821453154
100,100,3.0,1.0,0.0,3.0,0.8560718714877069,0.9743938655526208,0.6286235977106901,-0.7325582680165651,-0.42828956637154025,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,2.265703331401857
101,101,0.0,1.0,2.0,1.0,0.8560718714877069,0.9743938655526208,-1.152509286646336,-0.7325582680165651,-0.42828956637154025,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,2.1465581066881194
102,102,3.0,3.0,2.0,0.0,0.16805797696524175,-0.6327891776749888,-1.152509286646336,-0.7325582680165651,-0.42828956637154025,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3.514245097168132
103,103,0.0,0.0,2.0,1.0,0.8560718714877069,0.27232937388945866,0.09939050265205127,-0.7325582680165651,-0.42828956637154025,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,3.2833012287035492
104,104,3.0,1.0,4.0,2.0,-0.7189462043616851,0.9743938655526208,-0.8882851518903232,-0.7325582680165651,-0.42828956637154025,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,3.041857061836402
105,105,0.0,0.0,2.0,0.0,-0.7189462043616851,0.27232937388945866,0.46111626254523286,1.1247212753708395,2.334868926348074,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,2.916411238613024
106,106,3.0,4.0,2.0,3.0,-0.7189462043616851,0.9743938655526208,0.46111626254523286,1.1247212753708395,2.334868926348074,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,2.9795930050199724
107,107,0.0,1.0,2.0,1.0,-0.7189462043616851,-0.6327891776749888,-0.19933863951675831,-0.7325582680165651,-0.42828956637154025,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,3.3967904521792778
108,108,1.0,1.0,4.0,2.0,-1.9691083823833906,-0.6327891776749888,-0.4139847381682897,-0.7325582680165651,-0.42828956637154025,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,2.781041942551705
109,109,0.0,1.0,1.0,3.0,-1.9691083823833906,-0.6327891776749888,0.09939050265205127,-0.7325582680165651,-0.42828956637154025,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,2.677961416262202
110,110,0.0,3.0,0.0,3.0,-1.9691083823833906,-0.6327891776749888,-0.3049844931357204,1.1247212753708395,2.334868926348074,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,3.7408298831004774
111,111,2.0,1.0,2.0,2.0,0.8560718714877069,0.9743938655526208,-1.292660147678095,-0.7325582680165651,-0.42828956637154025,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,2.1545963755646516
112,112,0.0,1.0,2.0,1.0,0.16805797696524175,0.27232937388945866,-0.6429508548224555,-0.7325582680165651,-0.42828956637154025,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,2.9690189735975325
113,113,3.0,0.0,2.0,0.0,0.8560718714877069,-0.6327891776749888,-1.01785597577039,1.1247212753708395,-0.42828956637154025,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,2.4838650634033397
114,114,1.0,1.0,1.0,3.0,0.16805797696524175,-1.9084821266066496,0.09939050265205127,-0.7325582680165651,-0.42828956637154025,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2.8956299319527563
115,115,3.0,0.0,4.0,3.0,0.8560718714877069,-1.9084821266066496,1.0870661571944273,-0.7325582680165651,-0.42828956637154025,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,2.1025736246708444
116,116,1.0,1.0,4.0,1.0,0.8560718714877069,0.27232937388945866,-0.4139847381682897,-0.7325582680165651,-0.42828956637154025,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,2.360512008808832
117,117,1.0,0.0,4.0,2.0,-0.7189462043616851,0.27232937388945866,-0.7634270526194575,1.1247212753708395,-0.42828956637154025,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,3.196672017091838
118,118,1.0,0.0,1.0,0.0,-1.9691083823833906,0.9743938655526208,-1.292660147678095,1.1247212753708395,-0.42828956637154025,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2.3713331098101027
119,119,0.0,0.0,1.0,1.0,0.16805797696524175,0.27232937388945866,0.1934571906955732,-0.7325582680165651,-0.42828956637154025,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,3.0290573133198757
120,120,1.0,1.0,2.0,0.0,0.16805797696524175,-0.6327891776749888,-1.01785597577039,1.1247212753708395,-0.42828956637154025,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,2.4313301045138545
